;;;;;;;;;;;;;;;;;Art der Anweisung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Kostenteilungsschlüssel (ohne GP Netzreseve);;;;Weiterverrechnungsschlüssel (mit GP Netzreseve);;;;;;;;Leistung (MW);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;variable Erzeugungsauslagen [€/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Arbeitsabhängige Sonstige Kosten [€/Viertelstunden];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Anteiliger Werteverbrauch [€/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Entgangene Erlöse Intraday [€/Viertelstunde];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TM von ;TM bis;Zeit von;Zeit bis;GM-Ident;GM-Art;Tages-TM-Ident;TM-Art;Ursache;Auslösender Prozess;Anforderer;überlastetes Netzelement;Zuständiger RAS-ÜNB ;Aktivierungsobjekt;AO-Code;AO-Art;Anschlussregelzone des AO;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Art der Anweisung;Gegenläufigkeit;TM-Richtung;Kostenteilungsmechanismus;Kostenstand;Gesamtkosten [€] ;Anteil WV Amprion;Anteil WV TenneT;Anteil WV TransnetBW;Anteil WV 50Hertz;Anteil WV Amprion;Anteil WV TenneT;Anteil WV TransnetBW;Anteil WV 50Hertz;WV Amprion;WV TenneT;WV TransnetBW;WV 50Hertz;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Menge [MWh] ;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Summe variable Erzeugungsauslagen [€];Kosten für An- und Abfahrt [€];Auslagen für die Herstellung der Betriebsbereitschaft oder die Verschiebung einer geplanten Revision;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Arbeitsabhängige Sonstige Kosten [€];Arbeitsunabhängige Sonstige Kosten [€];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Anteiliger Werteverbrauch [€];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Entgangene Erlöse Intraday [€];Andere Kosten [€]
04.12.2022;05.12.2022;07:30;00:00;RD-22-03368;Redispatch;20221204_RD-22-03368_NRInland-014;Netzreserve Inland;I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;AMP-TTG/380/Doerpen W-Niederlangen-Meppen/Emsland O-ws//Y-Doerpen W;TransnetBW;Reservekraftwerk Altbach/Deizisau Block 1;11WD4AL1U1C1---T;Reserve-KW;10YDE-ENBW-----N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;Nein;Quelle;;Offen;246.187,50;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;100;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;150;;;;;2437,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1262,5;2525;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;3787,5;;;;;246.187,50;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
04.12.2022;05.12.2022;07:45;00:00;RD-22-03368;Redispatch;20221204_RD-22-03368_NRInland-017;Netzreserve Inland;I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;AMP-TTG/380/Doerpen W-Niederlangen-Meppen/Emsland O-ws//Y-Doerpen W;TransnetBW;Reservekraftwerk Marbach GT 2;11WD4MAR-5OGT2-D;Reserve-KW;10YDE-ENBW-----N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;Nein;Quelle;;Offen;81.431,25;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;;;;;806,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;631,25;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;1262,5;;;;;81.431,25;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
04.12.2022;05.12.2022;07:45;00:00;RD-22-03368;Redispatch;20221204_RD-22-03368_NRInland-018;Netzreserve Inland;I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;AMP-TTG/380/Doerpen W-Niederlangen-Meppen/Emsland O-ws//Y-Doerpen W;TransnetBW;Reservekraftwerk Marbach GT 3;11WD4MAR-5OGT3-A;Reserve-KW;10YDE-ENBW-----N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;Nein;Quelle;;Offen;128.017,50;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;60;60;60;60;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;80;;;;;1267,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;757,5;1515;1515;1515;1515;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;2020;;;;;128.017,50;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
04.12.2022;05.12.2022;11:30;00:00;RD-22-03368;Redispatch;20221204_RD-22-03368_NRInland-021;Netzreserve Inland;I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;AMP-TTG/380/Doerpen W-Niederlangen-Meppen/Emsland O-ws//Y-Doerpen W;TransnetBW;Reservekraftwerk Walheim Block 2;11WD4WALK5CB2--3;Reserve-KW;10YDE-ENBW-----N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;Nein;Quelle;;Offen;131.224,25;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;95;100;105;110;115;120;125;130;135;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;138;;;;;1299,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;252,5;378,75;505;631,25;757,5;883,75;1010;1136,25;1262,5;1388,75;1515;1641,25;1767,5;1893,75;2020;2146,25;2272,5;2398,75;2525;2651,25;2777,5;2903,75;3030;3156,25;3282,5;3408,75;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;3484,5;;;;;131.224,25;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
04.12.2022;05.12.2022;23:30;00:00;RD-22-03378;Redispatch;20221204_RD-22-03378_13(1)MKW-017;Markt-KW 13(1);I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;AMP-TTG/380/Doerpen W-Niederlangen-Meppen/Emsland O-ws//Y-Meppen;TransnetBW;Heizkraftwerk Heilbronn Block 7;11WD4HLBR1C7---4;KW-Block;10YDE-ENBW-----N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;;;;;E;Nein;Quelle;;Schätzung;4.455,00;40,58734;54,98115;1,38846;3,04305;40,58734;54,98115;1,38846;3,04305;4534,88;6143,12;155,13;340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;80;;;;;27,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1215;3240;;;;;4.455,00;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
04.12.2022;05.12.2022;00:00;00:00;RD-22-03368;Redispatch;20221204_RD-22-03368_NRInland-019;Netzreserve Inland;I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;AMP-TTG/380/Doerpen W-Niederlangen-Meppen/Emsland O-ws//Y-Doerpen W;TransnetBW;Reservekraftwerk Rheinhafen-Dampfkraftwerk Karlsruhe Block 4;11WD4RDK42G4---O;Reserve-KW;10YDE-ENBW-----N;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;Nein;Quelle;;Offen;712.757,00;0;0;0;0;0;0;0;0;0;0;0;0;240;240;240;240;240;240;240;240;240;240;240;240;240;240;240;240;250;250;250;250;240;240;240;240;240;240;240;240;240;240;240;240;342;342;342;342;342;342;342;342;342;342;342;342;342;342;342;342;342;342;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;312;;;;;7057;6060;6060;6060;6060;6060;6060;6060;6060;6060;6060;6060;6060;6060;6060;6060;6060;6312,5;6312,5;6312,5;6312,5;6060;6060;6060;6060;6060;6060;6060;6060;6060;6060;6060;6060;8635,5;8635,5;8635,5;8635,5;8635,5;8635,5;8635,5;8635,5;8635,5;8635,5;8635,5;8635,5;8635,5;8635,5;8635,5;8635,5;8635,5;8635,5;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;7878;;;;;712.757,00;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
04.12.2022;04.12.2022;10:45;14:00;RD-22-03368;Redispatch;20221204_RD-22-03368_13(1)MKW-065;Markt-KW 13(1);I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;AMP-TTG/380/Doerpen W-Niederlangen-Meppen/Emsland O-ws//Y-Doerpen W;TransnetBW;Vorarlberger Ilwerke;11WD4VIW-2H-BRSO;KW-Pool;10YDE-ENBW-----N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Quelle;;Schätzung;19.440,00;40,58734;54,98115;1,38846;3,04305;40,58734;54,98115;1,38846;3,04305;28944,78;39209,7;990,18;2170,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;40;40;40;40;40;30;50;40;30;30;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1620;1620;1620;1620;1620;1620;1215;2025;1620;1215;1215;1215;1215;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.440,00;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
04.12.2022;05.12.2022;10:30;00:00;RD-22-03368;Redispatch;20221204_RD-22-03368_NRInland-015;Netzreserve Inland;I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;AMP-TTG/380/Doerpen W-Niederlangen-Meppen/Emsland O-ws//Y-Doerpen W;TransnetBW;Reservekraftwerk Heilbronn Block 5;11WD4HLBR2C5---7;Reserve-KW;10YDE-ENBW-----N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;Nein;Quelle;;Offen;136.097,50;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;20;30;40;50;60;70;80;90;100;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;;;;;1347,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;252,5;505;757,5;1010;1262,5;1515;1767,5;2020;2272,5;2525;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;;;;;136.097,50;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
