04.12.2022;05.12.2022;09:30;00:00;RD-22-03368;Redispatch;20221204_RD-22-03368_NRInland-016;Netzreserve Inland;I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;AMP-TTG/380/Doerpen W-Niederlangen-Meppen/Emsland O-ws//Y-Doerpen W;TransnetBW;Reservekraftwerk Heilbronn Block 6;11WD4HLBR5C6---I;Reserve-KW;10YDE-ENBW-----N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;Nein;Quelle;;Offen;139.632,50;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;20;30;40;50;20;30;40;50;60;70;80;90;100;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;;;;;1382,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;252,5;505;757,5;1010;1262,5;505;757,5;1010;1262,5;1515;1767,5;2020;2272,5;2525;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;;;;;139.632,50;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
04.12.2022;05.12.2022;13:30;00:00;RD-22-03368;Redispatch;20221204_RD-22-03368_NRInland-020;Netzreserve Inland;I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;AMP-TTG/380/Doerpen W-Niederlangen-Meppen/Emsland O-ws//Y-Doerpen W;TransnetBW;Reservekraftwerk Walheim Block 1;11WD4WALK5CB1--7;Reserve-KW;10YDE-ENBW-----N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;Nein;Quelle;;Offen;78.275,00;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;15;20;25;30;35;40;45;50;55;60;65;70;75;80;85;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;90;;;;;775;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;252,5;378,75;505;631,25;757,5;883,75;1010;1136,25;1262,5;1388,75;1515;1641,25;1767,5;1893,75;2020;2146,25;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;2272,5;;;;;78.275,00;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
04.12.2022;05.12.2022;20:30;00:00;RD-22-03373;Redispatch;20221204_RD-22-03373_13(1)MKW-004;Markt-KW 13(1);I;Intraday;TenneT DE;TTG / 380kV / Oberbachern - Ottenhofen / 461;TransnetBW;Vorarlberger Ilwerke;11WD4VIW-2H-BRSO;KW-Pool;10YDE-ENBW-----N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;Nein;Quelle;;Schätzung;67.635,00;0;100;0;0;0;100;0;0;0;248116,08;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;80;130;130;130;130;130;130;130;130;130;130;130;130;;;;;417,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1215;3240;5265;5265;5265;5265;5265;5265;5265;5265;5265;5265;5265;5265;;;;;67.635,00;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
14.12.2022;14.12.2022;11:45;23:15;RD-22-03444;Redispatch;20221214_RD-22-03444_13(1)MKW-013;Markt-KW 13(1);I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;TTG / 380kV / Oberbachern - Ottenhofen / 461;TransnetBW;Vorarlberger Ilwerke;11WD4VIW-2H-BRSO;KW-Pool;10YDE-ENBW-----N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;E;Nein;Quelle;;Schätzung;42.565,50;40,58734;54,98115;1,38846;3,04305;40,58734;54,98115;1,38846;3,04305;60311,02;81699,59;2063,19;4521,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;152;102;52;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;140;180;140;100;60;20;;;;;;;;262,75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1701;6156;4131;2106;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2470,5;5670;7290;5670;4050;2430;810;;;;;;;;42.565,50;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
19.12.2022;20.12.2022;00:45;00:00;RD-22-03475;Redispatch;20221219_RD-22-03475_13(1)MKW-031;Markt-KW 13(1);I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;AMP-TTG / 380kV / Meppen - Niederlangen - Dörpen West / Emsland O-W;TransnetBW;Heizkraftwerk Heilbronn Block 7;11WD4HLBR1C7---4;KW-Block;10YDE-ENBW-----N;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;Nein;Quelle;;Schätzung;1.028.781,00;40,58734;54,98115;1,38846;3,04305;40,58734;54,98115;1,38846;3,04305;824143,21;1116415,64;28193,27;61790,42;;;;50;50;50;50;50;50;50;50;50;100;100;100;160;210;210;280;350;420;420;420;420;393;393;393;393;326;326;326;255;175;54;54;54;53;53;53;53;125;125;125;125;185;185;185;185;175;175;175;175;187;187;187;187;187;187;187;187;187;187;187;187;180;180;180;180;255;255;255;255;335;335;335;335;279;279;279;279;302;302;302;302;735;735;735;735;735;735;735;735;735;735;735;735;;;;;6350,5;;;;2025;2025;2025;2025;2025;2025;2025;2025;2025;4050;4050;4050;6480;8505;8505;11340;14175;17010;17010;17010;17010;15916,5;15916,5;15916,5;15916,5;13203;13203;13203;10327,5;7087,5;2187;2187;2187;2146,5;2146,5;2146,5;2146,5;5062,5;5062,5;5062,5;5062,5;7492,5;7492,5;7492,5;7492,5;7087,5;7087,5;7087,5;7087,5;7573,5;7573,5;7573,5;7573,5;7573,5;7573,5;7573,5;7573,5;7573,5;7573,5;7573,5;7573,5;7290;7290;7290;7290;10327,5;10327,5;10327,5;10327,5;13567,5;13567,5;13567,5;13567,5;11299,5;11299,5;11299,5;11299,5;12231;12231;12231;12231;29767,5;29767,5;29767,5;29767,5;29767,5;29767,5;29767,5;29767,5;29767,5;29767,5;29767,5;29767,5;;;;;1.028.781,00;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
19.12.2022;19.12.2022;06:00;23:00;RD-22-03475;Redispatch;20221219_RD-22-03475_NRInland-030;Netzreserve Inland;I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;AMP-TTG / 380kV / Meppen - Niederlangen - Dörpen West / Emsland O-W;TransnetBW;Reservekraftwerk Heilbronn Block 5;11WD4HLBR2C5---7;Reserve-KW;10YDE-ENBW-----N;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;E;Nein;Quelle;;Offen;79.032,50;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;0;0;0;0;0;0;0;0;0;0;0;0;5;10;10;45;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;110;;;;;;;;;782,5;;;;;;;;;;;;;;;;;;;;;;;;;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;378,75;0;0;0;0;0;0;0;0;0;0;0;0;126,25;252,5;252,5;1136,25;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;2777,5;;;;;;;;;79.032,50;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
19.12.2022;20.12.2022;03:45;00:00;RD-22-03475;Redispatch;20221219_RD-22-03475_13(1)MKW-032;Markt-KW 13(1);I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;AMP-TTG / 380kV / Meppen - Niederlangen - Dörpen West / Emsland O-W;TransnetBW;Rheinhafen-Dampfkraftwerk Karlsruhe Block 7;11WD4RDK71C7---G;KW-Block;10YDE-ENBW-----N;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;Nein;Quelle;;Schätzung;287.145,00;40,58734;54,98115;1,38846;3,04305;40,58734;54,98115;1,38846;3,04305;195542,89;264889,81;6689,36;14660,9;;;;;;;;;;;;;;;;70;130;150;200;265;325;325;325;325;255;185;115;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;115;115;115;495;495;495;495;495;495;495;495;;;;;1772,5;;;;;;;;;;;;;;;;2835;5265;6075;8100;10732,5;13162,5;13162,5;13162,5;13162,5;10327,5;7492,5;4657,5;2025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2632,5;4657,5;4657,5;4657,5;20047,5;20047,5;20047,5;20047,5;20047,5;20047,5;20047,5;20047,5;;;;;287.145,00;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
19.12.2022;19.12.2022;05:30;11:00;RD-22-03477;Redispatch;20221219_RD-22-03477_13(1)MKW-006;Markt-KW 13(1);I;Intraday;TenneT DE;TTG / 380kV / Dipperz - Großkrotzenburg / 1;TransnetBW;Vorarlberger Ilwerke;11WD4VIW-2H-BRSO;KW-Pool;10YDE-ENBW-----N;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Quelle;;Schätzung;271.552,50;0;100;0;0;0;100;0;0;0;880517,36;0;0;;;;;;;;;;;;;;;;;;;;;;;166;234;276;327;378;400;150;374;538;550;110;330;330;330;330;200;304;200;330;200;318;330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1676,25;;;;;;;;;;;;;;;;;;;;;;;6723;9477;11178;13243,5;15309;16200;6075;15147;21789;22275;4455;13365;13365;13365;13365;8100;12312;8100;13365;8100;12879;13365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;271.552,50;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
19.12.2022;19.12.2022;07:30;11:00;RD-22-03477;Redispatch;20221219_RD-22-03477_NRInland-008;Netzreserve Inland;I;Intraday;TenneT DE;TTG / 380kV / Dipperz - Großkrotzenburg / 1;TransnetBW;Reservekraftwerk Marbach GT 3;11WD4MAR-5OGT3-A;Reserve-KW;10YDE-ENBW-----N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Quelle;;Offen;4.040,00;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;80;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2020;2020;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.040,00;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
20.12.2022;20.12.2022;08:00;13:00;RD-22-03490;Redispatch;20221220_RD-22-03490_13(1)MKW-020;Markt-KW 13(1);I;Intraday;TenneT DE;TTG / 380kV / Dollern - Sottrum / grün;TransnetBW;Vorarlberger Ilwerke;11WD4VIW-2H-BRSO;KW-Pool;10YDE-ENBW-----N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Quelle;;Schätzung;138.510,00;0;100;0;0;0;100;0;0;0;414709,2;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;200;200;200;200;200;200;200;200;200;200;200;200;400;305;205;105;5;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8100;8100;8100;8100;8100;8100;8100;8100;8100;8100;8100;8100;16200;12352,5;8302,5;4252,5;202,5;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;138.510,00;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
20.12.2022;20.12.2022;13:00;14:45;RD-22-03491;Redispatch;20221220_RD-22-03491_13(1)MKW-014;Markt-KW 13(1);I;Intraday;TenneT DE/Amprion;AMP-TTG / 380kV / Dettingen - Großkrotzenburg / Untermain Süd-1//TTG / 380kV / Dipperz - Mecklar / 2;TransnetBW;Heizkraftwerk Heilbronn Block 7;11WD4HLBR1C7---4;KW-Block;10YDE-ENBW-----N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Quelle;;Schätzung;55.282,50;50;50;0;0;50;50;0;0;56534,11;56534,11;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;205;205;205;205;205;205;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;341,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8302,5;8302,5;8302,5;8302,5;8302,5;8302,5;5467,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55.282,50;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
20.12.2022;21.12.2022;21:00;00:00;RD-22-03488;Redispatch;20221220_RD-22-03488_NRInland-023;Netzreserve Inland;I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;AMP-TTG / 380kV / Hanekenfähr - Dörpen West / Emsland West-Blau;TransnetBW;Reservekraftwerk Rheinhafen-Dampfkraftwerk Karlsruhe Block 4;11WD4RDK42G4---O;Reserve-KW;10YDE-ENBW-----N;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;Nein;Quelle;;Offen;88.274,00;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;240;240;240;240;317;317;317;317;317;317;317;317;;;;;874;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6060;6060;6060;6060;8004,25;8004,25;8004,25;8004,25;8004,25;8004,25;8004,25;8004,25;;;;;88.274,00;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
20.12.2022;20.12.2022;00:00;03:00;RD-22-03488;Redispatch;20221220_RD-22-03488_13(1)MKW-024;Markt-KW 13(1);I;PRD2 (DACF);TenneT DE/TransnetBW/50Hertz/Amprion;AMP-TTG / 380kV / Hanekenfähr - Dörpen West / Emsland West-Blau;TransnetBW;Rheinhafen-Dampfkraftwerk Karlsruhe Block 8;11WD4RDK81C8---3;KW-Block;10YDE-ENBW-----N;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;Nein;Quelle;;Schätzung;29.160,00;40,58734;54,98115;1,38846;3,04305;40,58734;54,98115;1,38846;3,04305;17855,79;24188,12;610,83;1338,74;80;80;80;80;50;50;50;50;50;50;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;180;3240;3240;3240;3240;2025;2025;2025;2025;2025;2025;2025;2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.160,00;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
