TM von;TM bis;Zeit von;Zeit bis;GM-Ident;GM-Art;Tages-TM-Ident;TM-Art;Ursache;Auslösender Prozess;Anforderer;überlastetes Netzelement;Zuständiger RAS-ÜNB;Aktivierungsobjekt;AO-Code;AO-Art;Anschlussregelzone des AO;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Art der Anweisung;Gegenläufigkeit;TM-Richtung;Kostenteilungsmechanismus;Kostenstand;Gesamtkosten [€];Anteil WV Amprion;Anteil WV TenneT;Anteil WV TransnetBW;Anteil WV 50Hertz;Anteil WV Amprion;Anteil WV TenneT;Anteil WV TransnetBW;Anteil WV 50Hertz;WV Amprion;WV TenneT;WV TransnetBW;WV 50Hertz;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Menge [MWh];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Summe variable Erzeugungsauslagen [€];Kosten für An- und Abfahrt [€];Auslagen für die Herstellung der Betriebsbereitschaft oder die Verschiebung einer geplanten Revision;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Arbeitsabhängige Sonstige Kosten [€];Arbeitsunabhängige Sonstige Kosten [€];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Anteiliger Werteverbrauch [€];1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;Entgangene Erlöse Intraday [€];Andere Kosten [€]
19.12.2022;19.12.2022;11:00;00:00;RD-22-03479;Redispatch;20221219_RD-22-03479_13(1)MKW-012;Markt-KW 13(1);I;Intraday;Amprion/TenneT DE;AMP-TTG / 380kV / Doerpen West - Hanekenfaehr / Emsland West-Blau;Amprion;Bexbach A;11WD7MITB1C---A1;KW-Block;10YDE-RWENET---I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;nein;Quelle;;Final;685303,85;50;50;0;0;50;50;0;0;342651,93;342651,93;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;250;;;;;3250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;13178,92025;;;;;685303,85;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
19.12.2022;19.12.2022;08:00;22:30;RD-22-03475;Redispatch;20221219_RD-22-03475_13(1)MKW-041;Markt-KW 13(1);I;PRD2 (DACF);50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W;Amprion;WEISWEILERVGT_H3;11WD7WEIS5GVGTHS;KW-Block;10YDE-RWENET---I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;nein;Quelle;;Final;0;40,58734;54,98115;1,38846;3,04305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176;176;176;176;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;176;176;176;176;120;60;;;;;;;;;;;2797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
19.12.2022;19.12.2022;17:30;20:00;RD-22-03475;Redispatch;20221219_RD-22-03475_13(1)MKW-103;Markt-KW 13(1);I;PRD2 (DACF);50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W;Amprion;Bexbach A;11WD7MITB1C---A1;KW-Block;10YDE-RWENET---I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;E;nein;Quelle;;Final;101214,11;40,58734;54,98115;1,38846;3,04305;40,58734;54,98115;1,38846;3,04305;41080,11;55648,68;1405,32;3080;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80;160;240;240;240;240;240;240;160;80;;;;;;;;;;;;;;;;;;;;;480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4217,25448;8434,50896;12651,76344;12651,76344;12651,76344;12651,76344;12651,76344;12651,76344;8434,50896;4217,25448;;;;;;;;;;;;;;;;;;;;;101214,11;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
19.12.2022;19.12.2022;10:30;13:00;RD-22-03475;Redispatch;20221219_RD-22-03475_13(1)MKW-102;Markt-KW 13(1);I;PRD2 (DACF);50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W;Amprion;PSW Rönkhausen;11WD7GARE5X-PSWB;KW-Pool;10YDE-RWENET---I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;nein;Quelle;;Final;0;40,58734;54,98115;1,38846;3,04305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;60;60;60;60;60;60;60;60;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
19.12.2022;19.12.2022;07:00;21:30;RD-22-03475;Redispatch;20221219_RD-22-03475_13(1)MKW-040;Markt-KW 13(1);I;PRD2 (DACF);50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W;Amprion;WEISWEILER_VGTG3;11WD7WEIS5GVGTGU;KW-Block;10YDE-RWENET---I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;nein;Quelle;;Final;0;40,58734;54,98115;1,38846;3,04305;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176;176;176;176;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;200;176;176;176;176;120;60;;;;;;;;;;;;;;;2797;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
19.12.2022;19.12.2022;04:45;00:00;RD-22-03475;Redispatch;20221219_RD-22-03475_13(1)MKW-036;Markt-KW 13(1);I;PRD2 (DACF);50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W;Amprion;Emsland Block D pool;11WD7EMSL1G-GUD9;KW-Pool;10YDE-RWENET---I;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;E;nein;Quelle;;Final;2285912,01;40,58734;54,98115;1,38846;3,04305;40,58734;54,98115;1,38846;3,04305;927790,88;1256820,71;31738,98;69561,45;;;;;;;;;;;;;;;;;;;;250;425;425;425;315;115;115;115;115;115;115;115;115;100;100;100;100;100;100;100;100;300;330;330;330;530;540;540;540;540;540;540;540;570;570;570;570;570;570;570;570;570;570;570;570;570;570;570;530;330;330;330;330;240;240;240;240;240;240;240;240;440;570;570;570;820;820;820;820;820;820;820;820;500;370;410;445;;;;;7978,75;;;;;;;;;;;;;;;;;;;;19325,29119;28975,85407;28975,85407;28975,85407;21476,22125;7840,525219;7840,525219;7840,525219;7840,525219;7840,525219;7840,525219;7840,525219;7840,525219;6817,848016;6817,848016;6817,848016;6817,848016;6817,848016;6817,848016;6817,848016;6817,848016;20453,54405;22498,89845;22498,89845;22498,89845;36134,59449;36816,37929;36816,37929;36816,37929;36816,37929;36816,37929;36816,37929;36816,37929;38861,73369;38861,73369;38861,73369;38861,73369;38861,73369;38861,73369;38861,73369;38861,73369;38861,73369;38861,73369;38861,73369;38861,73369;38861,73369;38861,73369;38861,73369;36134,59449;22498,89845;22498,89845;22498,89845;22498,89845;16362,83524;16362,83524;16362,83524;16362,83524;16362,83524;16362,83524;16362,83524;16362,83524;29998,53127;38861,73369;38861,73369;38861,73369;55906,35374;55906,35374;55906,35374;55906,35374;55906,35374;55906,35374;55906,35374;55906,35374;38650,58237;31640,42526;33797,39668;35684,74667;;;;;2200362,14;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;8,485;93,282317;23,302439;14,071646;121,048354;135,857073;178,781524;819,712988;1775,737439;820,99622;298,357683;188,497622;97,033354;164,258537;131,47439;123,976829;84,290244;150,046341;154,218293;214,437805;205,068293;422,367073;550,80622;715,299146;944,967073;2100,461098;2155,917073;1230,225366;1316,52;1290,237805;1682,949512;1169,28439;1423,426829;842,960488;2009,312561;1679,442439;2382,099512;1851,87439;1619,787073;781,150244;434,437317;1463,19;802,476585;611,276341;624,031829;1269,834878;1330,345244;1823,214512;3736,564634;1348,714024;2182,507317;4891,557805;3165,95561;844,80878;711,222439;1019,847805;1096,322927;686,587317;694,097561;976,79122;2610,995122;4678,14439;2751,932195;714,522805;731,810488;4460,67;2574,85;773,14;129,96;3205,65;292,1;47,46;166,05;515,8;200,79;6,09;4,1;;;;;85549,87;
19.12.2022;19.12.2022;19:00;21:00;RD-22-03475;Redispatch;20221219_RD-22-03475_13(1)MKW-039;Markt-KW 13(1);I;PRD2 (DACF);50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W;Amprion;NIEHL-31-GUD;11WD7OPLA1G--318;KW-Block;10YDE-RWENET---I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;;;;;;;;;;;;;;;;;E;nein;Quelle;;Final;95899,06;40,58734;54,98115;1,38846;3,04305;40,58734;54,98115;1,38846;3,04305;38922,88;52726,4;1331,52;2918,26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;153;153;153;178;230;230;230;;;;;;;;;;;;;;;;;353,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5498,4;9669,6;9669,6;9669,6;11249,6;14536;14536;14536;;;;;;;;;;;;;;;;;89364,8;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;481,25;0;0;592,22;592,23;;;;;;;;;;;;;;;;;1665,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1218,21;980,62;687,81;0;1338,5;643,42;;;;;;;;;;;;;;;;;;;4868,56;
19.12.2022;19.12.2022;08:00;23:00;RD-22-03475;Redispatch;20221219_RD-22-03475_NRInland-034;Netzreserve Inland;I;PRD2 (DACF);50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W;Amprion;Netzreservekraftwerk Darmstadt/GTKW GT11;11WD7DARM5GGT11D;Reserve-KW;10YDE-RWENET---I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;E;nein;Quelle;;Final;241318,69;100;0;0;0;100;0;0;0;241318,69;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;;;;;;;;;660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;;;;;;;;;241318,69;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
19.12.2022;19.12.2022;08:00;23:00;RD-22-03475;Redispatch;20221219_RD-22-03475_NRInland-035;Netzreserve Inland;I;PRD2 (DACF);50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W;Amprion;Netzreservekraftwerk Darmstadt/GTKW GT12;11WD7DARM5GGT12B;Reserve-KW;10YDE-RWENET---I;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;E;nein;Quelle;;Final;241318,69;100;0;0;0;100;0;0;0;241318,69;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;;;;;;;;;660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;4021,978125;;;;;;;;;241318,69;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;
19.12.2022;19.12.2022;00:00;22:30;RD-22-03475;Redispatch;20221219_RD-22-03475_13(1)MKW-037;Markt-KW 13(1);I;PRD2 (DACF);50Hertz/Amprion/TenneT DE/TransnetBW;AMP-TTG / 380kV / Doerpen West - Meppen - Niederlangen / Emsland O-W;Amprion;KNAPSACK_20;11WD7KWKN1GBL203;KW-Block;10YDE-RWENET---I;E;E;;;;;;;;;;;;;;;;;;;;;;;;;;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;;;;;;;;;;;E;nein;Quelle;;Final;1958293,05;40,58734;54,98115;1,38846;3,04305;40,58734;54,98115;1,38846;3,04305;794819,06;1076692,04;27190,11;59591,83;250;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;230;230;230;320;420;420;420;420;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;430;320;230;230;230;100;50;;;;;;;;;;;6227,5;17081,7275;6961,6025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4937,5775;15732,3775;15732,3775;15732,3775;21804,4525;28551,2025;28551,2025;28551,2025;28551,2025;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;29225,8775;21804,4525;15732,3775;15732,3775;15732,3775;6961,6025;3588,2275;;;;;;;;;;;1694580,84;162191,77;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;2;0,13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;471,86;353,58;681,21;457,23;1589,78;670,11;879,96;1157,13;1353,19;1169,52;756,78;1084,31;974,39;1122,29;779,78;1103,19;1446,1;2462,85;2158,74;1338,26;1438,07;2585,44;1764,28;1539,74;1449,26;3264,9;2049,36;1673,2;1840,43;1856,34;1767,09;1237,77;2308,85;1264,97;2547,5;2157,62;2249,12;1335,19;1923,65;2028,3;3258,91;2925,16;3796,9;7417,87;4619,17;4803,49;1763,9;2278,86;1299,29;2876,04;1230,12;801,46;111,99;2253,8;673,4;75,91;101,83;613,13;188,91;31,64;2,36;102,05;0,78;;;;;;;;;;;101520,44;
